香港频道,#genre#
RTHK31,http://livetv.dnsfor.me/channel.1.m3u8
RTHK32,http://livetv.dnsfor.me/channel.2.m3u8
有線新聞台,http://livetv.dnsfor.me/channel.5.m3u8
有線財經資訊台,http://livetv.dnsfor.me/channel.6.m3u8
有線綜合娛樂台,http://livetv.dnsfor.me/channel.7.m3u8
香港開電視,http://livetv.dnsfor.me/channel.9.m3u8#http://media.fantv.hk/m3u8/archive/channel2.m3u8
賽事直擊,http://livetv.dnsfor.me/channel.13.m3u8
無線新聞台,http://livetv.dnsfor.me/channel.10.m3u8#https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
亞洲電視,http://livetv.dnsfor.me/channel.14.m3u8
香港衛視,http://livetv.dnsfor.me/channel.15.m3u8
鳳凰香港,http://livetv.dnsfor.me/channel.16.m3u8
NOW 331,http://livetv.dnsfor.me/channel.3.m3u8
NOW 332,http://livetv.dnsfor.me/channel.4.m3u8
NOW 660,http://livetv.dnsfor.me/channel.12.m3u8
